name,body_part,target,equipment
"kettlebell alternating press on floor","chest","pectorals","kettlebell"
"kettlebell alternating renegade row","back","upper back","kettlebell"
"kettlebell alternating row","back","upper back","kettlebell"
"kettlebell arnold press","shoulders","delts","kettlebell"
"kettlebell bent press","waist","abs","kettlebell"
"kettlebell bottoms up clean from the hang position","upper arms","biceps","kettlebell"
"kettlebell double alternating hang clean","upper arms","biceps","kettlebell"
"kettlebell double jerk","shoulders","delts","kettlebell"
"kettlebell double push press","shoulders","delts","kettlebell"
"kettlebell double snatch","shoulders","delts","kettlebell"
"kettlebell double windmill","waist","abs","kettlebell"
"kettlebell extended range one arm press on floor","chest","pectorals","kettlebell"
"kettlebell figure 8","waist","abs","kettlebell"
"kettlebell front squat","upper legs","glutes","kettlebell"
"kettlebell goblet squat","upper legs","glutes","kettlebell"
"kettlebell hang clean","upper legs","hamstrings","kettlebell"
"kettlebell lunge pass through","upper legs","glutes","kettlebell"
"kettlebell one arm clean and jerk","shoulders","delts","kettlebell"
"kettlebell one arm floor press","chest","pectorals","kettlebell"
"kettlebell one arm jerk","shoulders","delts","kettlebell"
"kettlebell one arm military press to the side","shoulders","delts","kettlebell"
"kettlebell one arm push press","shoulders","delts","kettlebell"
"kettlebell one arm row","back","upper back","kettlebell"
"kettlebell one arm snatch","shoulders","delts","kettlebell"
"kettlebell pirate supper legs","shoulders","delts","kettlebell"
"kettlebell pistol squat","upper legs","glutes","kettlebell"
"kettlebell plyo push-up","chest","pectorals","kettlebell"
"kettlebell seated press","shoulders","delts","kettlebell"
"kettlebell seated two arm military press","shoulders","delts","kettlebell"
"kettlebell seesaw press","shoulders","delts","kettlebell"
"kettlebell sumo high pull","back","traps","kettlebell"
"kettlebell swing","upper legs","glutes","kettlebell"
"kettlebell thruster","shoulders","delts","kettlebell"
"kettlebell turkish get up (squat style)","upper legs","glutes","kettlebell"
"kettlebell two arm clean","shoulders","delts","kettlebell"
"kettlebell two arm military press","shoulders","delts","kettlebell"
"kettlebell two arm row","back","upper back","kettlebell"
"kettlebell windmill","waist","abs","kettlebell"
"kick out sit","upper legs","hamstrings","body weight"
"kipping muscle up","back","lats","body weight"
"knee touch crunch","waist","abs","body weight"
"kneeling jump squat","upper legs","glutes","barbell"
"kneeling lat stretch","back","lats","body weight"
"kneeling plank tap shoulder (male)","waist","abs","body weight"
"kneeling push-up (male)","chest","pectorals","body weight"
"korean dips","chest","pectorals","body weight"
"l-pull-up","back","lats","body weight"
"l-sit on floor","waist","abs","body weight"
"landmine 180","waist","abs","barbell"
"landmine lateral raise","shoulders","delts","barbell"
"lean planche","waist","abs","body weight"
"left hook. boxing","shoulders","delts","body weight"
"leg pull in flat bench","waist","abs","body weight"
"leg up hamstring stretch","upper legs","hamstrings","body weight"
"lever alternate leg press","upper legs","quads","leverage machine"
"lever alternating narrow grip seated row","back","upper back","leverage machine"
"lever assisted chin-up","back","lats","leverage machine"
"lever back extension","back","spine","leverage machine"
"lever bent over row","back","upper back","barbell"
"lever bent-over row with v-bar","back","upper back","leverage machine"
"lever bicep curl","upper arms","biceps","leverage machine"
"lever calf press","lower legs","calves","leverage machine"
"lever chest press","chest","pectorals","leverage machine"
"lever chest press","chest","pectorals","leverage machine"
"lever deadlift","upper legs","glutes","leverage machine"
"lever decline chest press","chest","pectorals","leverage machine"
"lever donkey calf raise","lower legs","calves","leverage machine"
"lever front pulldown","back","lats","leverage machine"
"lever gripless shrug","back","traps","leverage machine"
"lever gripless shrug v. 2","back","traps","leverage machine"
"lever gripper hands","lower arms","forearms","leverage machine"
"lever hammer grip preacher curl","upper arms","biceps","leverage machine"
"lever high row","back","upper back","leverage machine"
"lever hip extension v. 2","upper legs","glutes","leverage machine"
"lever horizontal one leg press","upper legs","glutes","leverage machine"
"lever incline chest press","chest","pectorals","leverage machine"
"lever incline chest press v. 2","chest","pectorals","leverage machine"
"lever kneeling leg curl","upper legs","hamstrings","leverage machine"
"lever kneeling twist","waist","abs","leverage machine"
"lever lateral raise","shoulders","delts","leverage machine"
"lever leg extension","upper legs","quads","leverage machine"
"lever lying leg curl","upper legs","hamstrings","leverage machine"
"lever lying two-one leg curl","upper legs","hamstrings","leverage machine"
"lever military press","shoulders","delts","leverage machine"
"lever narrow grip seated row","back","upper back","leverage machine"
"lever one arm bent over row","back","upper back","barbell"
"lever one arm lateral high row","back","upper back","leverage machine"
"lever one arm lateral wide pulldown","back","lats","leverage machine"
"lever one arm shoulder press","shoulders","delts","leverage machine"
"lever overhand triceps dip","upper arms","triceps","leverage machine"
"lever preacher curl","upper arms","biceps","leverage machine"
"lever preacher curl v. 2","upper arms","biceps","leverage machine"
"lever pullover","back","lats","leverage machine"
"lever reverse grip lateral pulldown","back","lats","leverage machine"
"lever reverse grip preacher curl","upper arms","biceps","leverage machine"
"lever reverse grip vertical row","back","upper back","leverage machine"
"lever reverse hyperextension","upper legs","glutes","leverage machine"
"lever reverse t-bar row","back","upper back","leverage machine"
"lever rotary calf","lower legs","calves","leverage machine"
"lever seated calf press","lower legs","calves","leverage machine"
"lever seated calf raise","lower legs","calves","leverage machine"
"lever seated crunch","waist","abs","leverage machine"
"lever seated crunch (chest pad)","waist","abs","leverage machine"
"lever seated crunch v. 2","waist","abs","leverage machine"
"lever seated dip","upper arms","triceps","leverage machine"
"lever seated fly","chest","pectorals","leverage machine"
"lever seated good morning","upper legs","glutes","leverage machine"
"lever seated hip abduction","upper legs","abductors","leverage machine"
"lever seated hip adduction","upper legs","adductors","leverage machine"
"lever seated leg curl","upper legs","hamstrings","leverage machine"
"lever seated leg raise crunch","waist","abs","leverage machine"
"lever seated reverse fly","shoulders","delts","leverage machine"
"lever seated reverse fly (parallel grip)","shoulders","delts","leverage machine"
"lever seated row","back","upper back","leverage machine"
"lever seated squat calf raise on leg press machine","lower legs","calves","leverage machine"
"lever shoulder press","shoulders","delts","leverage machine"
"lever shoulder press v. 2","shoulders","delts","leverage machine"
"lever shoulder press v. 3","shoulders","delts","leverage machine"
"lever shrug","back","traps","leverage machine"
"lever standing calf raise","lower legs","calves","leverage machine"
"lever standing chest press","chest","pectorals","leverage machine"
"lever t bar row","back","upper back","leverage machine"
"lever t-bar reverse grip row","back","upper back","leverage machine"
"lever triceps extension","upper arms","triceps","leverage machine"
"lever unilateral row","back","upper back","leverage machine"
"london bridge","back","upper back","rope"
"low glute bridge on floor","upper legs","glutes","body weight"
"lower back curl","back","spine","body weight"
"lunge with jump","upper legs","glutes","body weight"
"lunge with twist","waist","abs","body weight"
"lying (side) quads stretch","upper legs","quads","body weight"
"lying elbow to knee","waist","abs","body weight"
"lying leg raise flat bench","waist","abs","body weight"
"lying leg-hip raise","waist","abs","body weight"
"machine inner chest press","chest","pectorals","leverage machine"
"march sit (wall)","upper legs","glutes","body weight"
"medicine ball catch and overhead throw","back","lats","medicine ball"
"medicine ball chest pass","chest","pectorals","medicine ball"
"medicine ball chest push from 3 point stance","chest","pectorals","medicine ball"
"medicine ball chest push multiple response","chest","pectorals","medicine ball"
"medicine ball chest push single response","chest","pectorals","medicine ball"
"medicine ball chest push with run release","chest","pectorals","medicine ball"
"medicine ball close grip push up","upper arms","triceps","medicine ball"
"medicine ball overhead slam","back","upper back","medicine ball"
"medicine ball supine chest throw","upper arms","triceps","medicine ball"
"mixed grip chin-up","back","lats","body weight"
"modified hindu push-up (male)","chest","pectorals","body weight"
"modified push up to lower arms","lower arms","forearms","body weight"
"monster walk","upper legs","glutes","body weight"
"mountain climber","cardio","cardiovascular system","body weight"
"muscle up","back","lats","body weight"
"muscle-up (on vertical bar)","back","lats","body weight"
"narrow push-up on exercise ball","upper arms","triceps","stability ball"
"neck side stretch","neck","levator scapulae","body weight"
"negative crunch","waist","abs","body weight"
"oblique crunch v. 2","waist","abs","body weight"
"oblique crunches floor","waist","abs","body weight"
"olympic barbell hammer curl","upper arms","biceps","olympic barbell"
"olympic barbell triceps extension","upper arms","triceps","olympic barbell"
"one arm against wall","back","lats","body weight"
"one arm chin-up","back","lats","body weight"
"one arm dip","upper arms","triceps","body weight"
"one arm slam (with medicine ball)","waist","abs","medicine ball"
"one arm towel row","back","upper back","body weight"
"one leg donkey calf raise","lower legs","calves","body weight"
"one leg floor calf raise","lower legs","calves","body weight"
"one leg squat","upper legs","glutes","body weight"
"otis up","waist","abs","weighted"
"outside leg kick push-up","upper legs","glutes","body weight"
"overhead triceps stretch","upper arms","triceps","body weight"
"pelvic tilt","waist","abs","body weight"
"pelvic tilt into bridge","upper legs","glutes","body weight"
"peroneals stretch","lower legs","calves","rope"
"pike-to-cobra push-up","upper legs","glutes","body weight"
"plyo push up","chest","pectorals","body weight"
"posterior step to overhead reach","waist","abs","body weight"
"posterior tibialis stretch","lower legs","calves","rope"
"potty squat","waist","abs","body weight"
"potty squat with support","upper legs","glutes","body weight"
"power clean","upper legs","hamstrings","barbell"
"power point plank","waist","abs","body weight"
"prisoner half sit-up (male)","waist","abs","body weight"
"prone twist on stability ball","waist","abs","stability ball"
"pull up (neutral grip)","back","lats","body weight"
"pull-in (on stability ball)","waist","abs","stability ball"
"pull-up","back","lats","body weight"
"push and pull bodyweight","chest","pectorals","body weight"
"push to run","cardio","cardiovascular system","body weight"
"push up on bosu ball","chest","pectorals","bosu ball"
"push-up","chest","pectorals","body weight"
"push-up (bosu ball)","chest","pectorals","bosu ball"
"push-up (on stability ball)","chest","pectorals","stability ball"
"push-up (on stability ball)","chest","pectorals","stability ball"
"push-up (wall)","chest","pectorals","body weight"
"push-up (wall) v. 2","chest","pectorals","body weight"
"push-up close-grip off dumbbell","upper arms","triceps","dumbbell"
"push-up inside leg kick","upper legs","glutes","body weight"
"push-up medicine ball","chest","pectorals","medicine ball"
"push-up on lower arms","upper arms","triceps","body weight"
"push-up plus","chest","pectorals","body weight"
"push-up to side plank","waist","abs","body weight"
"quads","upper legs","quads","body weight"
"quarter sit-up","waist","abs","body weight"
"quick feet v. 2","upper legs","quads","body weight"
"raise single arm push-up","chest","pectorals","body weight"
"rear decline bridge","upper legs","glutes","body weight"
"rear deltoid stretch","shoulders","delts","body weight"
"rear pull-up","back","lats","body weight"
"reclining big toe pose with rope","upper legs","hamstrings","rope"
"resistance band hip thrusts on knees (female)","upper legs","glutes","resistance band"
"resistance band leg extension","upper legs","quads","resistance band"
"resistance band seated biceps curl","upper arms","biceps","resistance band"
"resistance band seated chest press","chest","pectorals","resistance band"
"resistance band seated hip abduction","upper legs","abductors","resistance band"
"resistance band seated shoulder press","shoulders","delts","resistance band"
"resistance band seated straight back row","back","upper back","resistance band"
"reverse crunch","waist","abs","body weight"
"reverse dip","upper arms","triceps","body weight"
"reverse grip machine lat pulldown","back","lats","leverage machine"
"reverse grip pull-up","back","lats","body weight"
"reverse hyper extension (on stability ball)","upper legs","glutes","stability ball"
"reverse hyper on flat bench","upper legs","glutes","body weight"
"reverse plank with leg lift","waist","abs","body weight"
"ring dips","upper arms","triceps","body weight"
"rocking frog stretch","upper legs","glutes","body weight"
"rocky pull-up pulldown","back","lats","body weight"
"roller back stretch","back","spine","roller"
"roller body saw","waist","abs","roller"
"roller hip lat stretch","upper legs","glutes","roller"
"roller hip stretch","upper legs","glutes","roller"
"roller reverse crunch","waist","abs","roller"
"roller seated shoulder flexor depresor retractor","chest","pectorals","roller"
"roller seated single leg shoulder flexor depresor retractor","chest","pectorals","roller"
"roller side lat stretch","back","lats","roller"
"rope climb","back","upper back","rope"
"run","cardio","cardiovascular system","body weight"
"run (equipment)","cardio","cardiovascular system","body weight"
"runners stretch","upper legs","hamstrings","body weight"
"russian twist","waist","abs","body weight"
"scapula dips","back","traps","body weight"
"scapula push-up","chest","serratus anterior","body weight"
"scapular pull-up","back","traps","body weight"
"scissor jumps (male)","cardio","cardiovascular system","body weight"
"seated calf stretch (male)","lower legs","calves","body weight"
"seated glute stretch","upper legs","glutes","body weight"
"seated leg raise","waist","abs","body weight"
"seated lower back stretch","back","lats","body weight"
"seated piriformis stretch","upper legs","glutes","body weight"
"seated side crunch (wall)","waist","abs","body weight"
"seated wide angle pose sequence","upper legs","hamstrings","body weight"
"self assisted inverse leg curl","upper legs","hamstrings","body weight"
"self assisted inverse leg curl","upper legs","hamstrings","body weight"
"self assisted inverse leg curl (on floor)","upper legs","hamstrings","body weight"
"semi squat jump (male)","cardio","cardiovascular system","body weight"
"short stride run","cardio","cardiovascular system","body weight"
"shoulder grip pull-up","back","lats","body weight"
"shoulder tap","waist","abs","body weight"
"shoulder tap push-up","chest","pectorals","body weight"
"side bridge hip abduction","upper legs","abductors","body weight"
"side bridge v. 2","waist","abs","body weight"
"side hip (on parallel bars)","waist","abs","body weight"
"side hip abduction","upper legs","abductors","body weight"
"side lying floor stretch","back","lats","body weight"
"side lying hip adduction (male)","upper legs","adductors","body weight"
"side plank hip adduction","upper legs","adductors","body weight"
"side push neck stretch","neck","levator scapulae","body weight"
"side push-up","upper arms","triceps","body weight"
"side wrist pull stretch","lower arms","forearms","body weight"
"side-to-side chin","back","lats","body weight"
"side-to-side toe touch (male)","waist","abs","body weight"
"single arm push-up","chest","pectorals","body weight"
"single leg bridge with outstretched leg","upper legs","glutes","body weight"
"single leg calf raise (on a dumbbell)","lower legs","calves","dumbbell"
"single leg platform slide","upper legs","hamstrings","body weight"
"single leg squat (pistol) male","upper legs","glutes","body weight"
"sissy squat","upper legs","quads","body weight"
"sit-up v. 2","waist","abs","body weight"
"sit-up with arms on chest","waist","abs","body weight"
"skater hops","cardio","cardiovascular system","body weight"
"ski ergometer","upper arms","triceps","skierg machine"
"ski step","cardio","cardiovascular system","body weight"
"skin the cat","back","upper back","body weight"
"sled 45 degrees one leg press","upper legs","glutes","sled machine"
"sled 45в° calf press","lower legs","calves","sled machine"
"sled 45в° leg press","upper legs","glutes","sled machine"
"sled 45в° leg press (back pov)","upper legs","glutes","sled machine"
"sled 45° leg press (side pov)","upper legs","glutes","sled machine"
"sled 45в° leg wide press","upper legs","glutes","sled machine"
"sled calf press on leg press","lower legs","calves","sled machine"
"sled closer hack squat","upper legs","glutes","sled machine"
"sled forward angled calf raise","lower legs","calves","sled machine"
"sled hack squat","upper legs","glutes","sled machine"
"sled lying calf press","lower legs","calves","sled machine"
"sled lying squat","upper legs","glutes","sled machine"
"sled one leg calf press on leg press","lower legs","calves","sled machine"
"sledge hammer","waist","abs","hammer"
"smith back shrug","back","traps","smith machine"
"smith behind neck press","shoulders","delts","smith machine"
"smith bench press","chest","pectorals","smith machine"
"smith bent knee good morning","upper legs","glutes","smith machine"
"smith bent over row","back","upper back","smith machine"
"smith chair squat","upper legs","quads","smith machine"
"smith close-grip bench press","upper arms","triceps","smith machine"
"smith deadlift","upper legs","glutes","smith machine"
"smith decline bench press","chest","pectorals","smith machine"
"smith decline reverse-grip press","chest","pectorals","smith machine"
"smith front squat (clean grip)","upper legs","glutes","smith machine"
"smith full squat","upper legs","glutes","smith machine"
"smith hack squat","upper legs","glutes","smith machine"
"smith hip raise","waist","abs","smith machine"
"smith incline bench press","chest","pectorals","smith machine"
"smith incline reverse-grip press","chest","pectorals","smith machine"
"smith incline shoulder raises","chest","serratus anterior","smith machine"
"smith leg press","upper legs","glutes","smith machine"
"smith low bar squat","upper legs","glutes","smith machine"
"smith machine bicep curl","upper arms","biceps","smith machine"
"smith machine decline close grip bench press","upper arms","triceps","smith machine"
"smith machine incline tricep extension","upper arms","triceps","smith machine"
"smith machine reverse decline close grip bench press","chest","pectorals","smith machine"
"smith narrow row","back","upper back","smith machine"
"smith one arm row","back","upper back","smith machine"
"smith one leg floor calf raise","lower legs","calves","smith machine"
"smith rear delt row","shoulders","delts","smith machine"
"smith reverse calf raises","lower legs","calves","smith machine"
"smith reverse calf raises","lower legs","calves","smith machine"
"smith reverse grip bent over row","back","upper back","smith machine"
"smith reverse-grip press","chest","pectorals","smith machine"
"smith seated one leg calf raise","lower legs","calves","smith machine"
"smith seated shoulder press","shoulders","delts","smith machine"
"smith seated wrist curl","lower arms","forearms","smith machine"
"smith shoulder press","shoulders","delts","smith machine"
"smith shrug","back","traps","smith machine"
"smith single leg split squat","upper legs","quads","smith machine"
"smith sprint lunge","upper legs","glutes","smith machine"
"smith squat","upper legs","glutes","smith machine"
"smith standing back wrist curl","lower arms","forearms","smith machine"
"smith standing behind head military press","shoulders","delts","smith machine"
"smith standing leg calf raise","lower legs","calves","smith machine"
"smith standing military press","shoulders","delts","smith machine"
"smith sumo squat","upper legs","glutes","smith machine"
"smith toe raise","lower legs","calves","smith machine"
"smith upright row","shoulders","delts","smith machine"
"smith wide grip bench press","chest","pectorals","smith machine"
"smith wide grip decline bench press","chest","pectorals","smith machine"
"snatch pull","upper legs","quads","barbell"
"spell caster","waist","abs","dumbbell"
"sphinx","back","spine","body weight"
"spider crawl push up","upper legs","glutes","body weight"
"spine stretch","back","spine","body weight"
"spine twist","waist","abs","body weight"
"split squats","upper legs","quads","body weight"
"squat jerk","upper legs","quads","barbell"
"squat on bosu ball","upper legs","quads","bosu ball"
"squat to overhead reach","upper legs","quads","body weight"
"squat to overhead reach with twist","upper legs","quads","body weight"
"stability ball crunch (full range hands behind head)","waist","abs","stability ball"
"stalder press","upper arms","triceps","body weight"
"standing archer","back","upper back","body weight"
"standing behind neck press","shoulders","delts","barbell"
"standing calf raise (on a staircase)","lower legs","calves","body weight"
"standing calves","lower legs","calves","body weight"
"standing calves calf stretch","lower legs","calves","body weight"
"standing hamstring and calf stretch with strap","upper legs","hamstrings","rope"
"standing lateral stretch","back","lats","body weight"
"standing pelvic tilt","back","spine","body weight"
"standing single leg curl","upper legs","hamstrings","body weight"
"standing wheel rollerout","waist","abs","wheel roller"
"star jump (male)","cardio","cardiovascular system","body weight"
"stationary bike run v. 3","cardio","cardiovascular system","stationary bike"
"stationary bike walk","cardio","cardiovascular system","leverage machine"
"straddle maltese","waist","abs","body weight"
"straddle planche","waist","abs","body weight"
"straight leg outer hip abductor","upper legs","abductors","body weight"
"superman push-up","chest","pectorals","body weight"
"suspended abdominal fallout","waist","abs","body weight"
"suspended push-up","chest","pectorals","body weight"
"suspended reverse crunch","waist","abs","body weight"
"suspended row","back","upper back","body weight"
"suspended split squat","upper legs","quads","body weight"
"swimmer kicks v. 2 (male)","upper legs","glutes","body weight"
"swing 360","cardio","cardiovascular system","body weight"
"three bench dip","upper arms","triceps","body weight"
"tire flip","upper legs","glutes","tire"
"trap bar deadlift","upper legs","glutes","trap bar"
"triceps dip","upper arms","triceps","body weight"
"triceps dip (bench leg)","upper arms","triceps","body weight"
"triceps dip (between benches)","upper arms","triceps","body weight"
"triceps dips floor","upper arms","triceps","body weight"
"triceps press","upper arms","triceps","body weight"
"triceps stretch","upper arms","triceps","body weight"
"tuck crunch","waist","abs","body weight"
"twin handle parallel grip lat pulldown","back","lats","cable"
"twist hip lift","upper legs","glutes","body weight"
"twisted leg raise","waist","abs","body weight"
"twisted leg raise (female)","waist","abs","body weight"
"two toe touch (male)","back","spine","body weight"
"upper back stretch","back","upper back","body weight"
"upward facing dog","back","spine","body weight"
"v-sit on floor","waist","abs","body weight"
"vertical leg raise (on parallel bars)","waist","abs","body weight"
"walk elliptical cross trainer","cardio","cardiovascular system","elliptical machine"
"walking high knees lunge","cardio","cardiovascular system","body weight"
"walking lunge","upper legs","glutes","body weight"
"walking on incline treadmill","cardio","cardiovascular system","leverage machine"
"walking on stepmill","cardio","cardiovascular system","stepmill machine"
"weighted bench dip","upper arms","triceps","weighted"
"weighted close grip chin-up on dip cage","back","lats","weighted"
"weighted cossack squats (male)","upper legs","glutes","weighted"
"weighted crunch","waist","abs","weighted"
"weighted decline sit-up","waist","abs","weighted"
"weighted donkey calf raise","lower legs","calves","weighted"
"weighted drop push up","chest","pectorals","weighted"
"weighted front plank","waist","abs","weighted"
"weighted front raise","shoulders","delts","weighted"
"weighted hanging leg-hip raise","waist","abs","weighted"
"weighted hyperextension (on stability ball)","back","spine","weighted"
"weighted kneeling step with swing","shoulders","delts","weighted"
"weighted lunge with swing","upper legs","glutes","weighted"
"weighted muscle up","back","lats","weighted"
"weighted muscle up (on bar)","back","lats","weighted"
"weighted one hand pull up","back","lats","weighted"
"weighted overhead crunch (on stability ball)","waist","abs","weighted"
"weighted pull-up","back","lats","weighted"
"weighted round arm","shoulders","delts","weighted"
"weighted russian twist","waist","abs","weighted"
"weighted russian twist (legs up)","waist","abs","weighted"
"weighted russian twist v. 2","waist","abs","weighted"
"weighted seated bicep curl (on stability ball)","upper arms","biceps","medicine ball"
"weighted seated twist (on stability ball)","waist","abs","weighted"
"weighted side bend (on stability ball)","waist","abs","weighted"
"weighted sissy squat","upper legs","quads","weighted"
"weighted squat","upper legs","glutes","weighted"
"weighted standing curl","upper arms","biceps","weighted"
"weighted standing hand squeeze","lower arms","forearms","weighted"
"weighted straight bar dip","chest","pectorals","weighted"
"weighted stretch lunge","upper legs","glutes","weighted"
"weighted svend press","chest","pectorals","weighted"
"weighted three bench dips","upper arms","triceps","weighted"
"weighted tricep dips","upper arms","triceps","weighted"
"weighted triceps dip on high parallel bars","upper arms","triceps","weighted"
"wheel rollerout","waist","abs","wheel roller"
"wheel run","cardio","cardiovascular system","body weight"
"wide grip pull-up","back","lats","body weight"
"wide grip rear pull-up","back","lats","body weight"
"wide hand push up","chest","pectorals","body weight"
"wide-grip chest dip on high parallel bars","chest","pectorals","body weight"
"wind sprints","waist","abs","body weight"
"world greatest stretch","upper legs","hamstrings","body weight"
"wrist circles","lower arms","forearms","body weight"
"wrist rollerer","lower arms","forearms","weighted"
